feature,gain,repeat,fold
site_50 mi. NE Malta,0.0,0,4
"site_80 mi. south of Martha's Vineyard, Massachusetts",0.0,0,4
"site_Andenes, Norway",0.0,0,4
site_Bequia,0.0,0,4
site_Bermuda,0.0,0,4
site_BermudaBD,0.0,0,4
"site_Castle Harbour, Bermuda",0.0,0,4
site_DOMINICA,0.0,0,4
"site_Dabob Bay, Seattle, Washington",0.0,0,4
site_Delaware,0.0,0,4
site_Dominica,0.0,0,4
site_Dominica Is,0.0,0,4
site_Dominica IsBD,0.0,0,4
"site_Gully, SE Sable I., Canada  BD",0.0,0,4
"site_Kikvika, Norway",0.0,0,4
"site_Ligurian Sea, NW Italy",0.0,0,4
"site_Lower end of Lanzarote Is., Canary I.",0.0,0,4
site_Madeira,0.0,0,4
site_N end of Dominica,0.0,0,4
site_N of Selina,0.0,0,4
"site_N of Selina, Sicily",0.0,0,4
"site_Near Filicudi, Italy",0.0,0,4
"site_Off Gibbs Hill Light, Bermuda",0.0,0,4
"site_Off Maui, HI",0.0,0,4
"site_Off Maui, HIBD",0.0,0,4
site_Oregon Coast Aquarium,0.0,0,4
"site_Oregon Coastal Aquarium, Newport, OR",0.0,0,4
"site_Outside St. John's Hbr., Newfoundland",0.0,0,4
"site_Plantagenet Bank, Bermuda",0.0,0,4
"site_Saanich Inlet, Victoria, VAncouver Island, British Columbia, Canada",0.0,0,4
"site_Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",0.0,0,4
"site_Sable Island, Nova Scotia",0.0,0,4
"site_South of Sable Island, North Atlantic",0.0,0,4
"site_St. David's Island, Bermuda",0.0,0,4
"site_T3 Ice Island, Canada",0.0,0,4
"site_Three to four miles N. of Crafton Is., Prince William Sound, Alaska",0.0,0,4
"site_Tortola, British Virgin IslandsO",0.0,0,4
"site_Vancouver, British Columbia",0.0,0,4
site_W of Browns Bank,0.0,0,4
"site_off Gibbs Hill Light, Bermuda",0.0,0,4
"site_over Plantagenet Banks, Bermuda",0.0,0,4
collection_code_BD10A,0.0,0,4
collection_code_BD15A,0.0,0,4
collection_code_BE3B,0.0,0,4
collection_code_BE3C,0.0,0,4
collection_code_AC2A,0.3711491525173187,1,0
collection_code_BA2A,0.305237352848053,1,0
latitude,0.2743229269981384,1,0
site_W of Browns Bank,0.028322499245405197,1,0
"site_Three to four miles N. of Crafton Is., Prince William Sound, Alaska",0.019206229597330093,1,0
bytes_on_disk,0.000600208411924541,1,0
longitude,0.0005181946326047182,1,0
native_sample_rate,0.0002921322302427143,1,0
site_Oregon Coast Aquarium,0.00019211946346331388,1,0
duration_seconds,0.0001591678592376411,1,0
"site_1-1.5 miles North of Tortola, British Virgin Islands",0.0,1,0
"site_3 miles N of San Juan, Puerto Rico",0.0,1,0
"site_3-4 mi. off Roseau, Dominica",0.0,1,0
"site_3-4 mi. off Roseau, Dominica  BD",0.0,1,0
site_50 mi. NE Malta,0.0,1,0
"site_80 mi. south of Martha's Vineyard, Massachusetts",0.0,1,0
"site_Andenes, Norway",0.0,1,0
"site_Argus Island, Bermuda",0.0,1,0
site_Bequia,0.0,1,0
site_Bermuda,0.0,1,0
site_BermudaBD,0.0,1,0
"site_Castle Harbour, Bermuda",0.0,1,0
site_DOMINICA,0.0,1,0
"site_Dabob Bay, Seattle, Washington",0.0,1,0
site_Delaware,0.0,1,0
site_Dominica,0.0,1,0
site_Dominica  E,0.0,1,0
site_Dominica Is,0.0,1,0
site_Dominica IsBD,0.0,1,0
"site_Gully, SE Sable I., Canada  BD",0.0,1,0
"site_Kikvika, Norway",0.0,1,0
"site_Ligurian Sea, NW Italy",0.0,1,0
"site_Lower end of Lanzarote Is., Canary I.",0.0,1,0
site_Madeira,0.0,1,0
site_N end of Dominica,0.0,1,0
site_N of Selina,0.0,1,0
"site_N of Selina, Sicily",0.0,1,0
"site_Near Filicudi, Italy",0.0,1,0
"site_Off Gibbs Hill Light, Bermuda",0.0,1,0
"site_Off Maui, HI",0.0,1,0
"site_Off Maui, HIBD",0.0,1,0
"site_Oregon Coastal Aquarium, Newport, OR",0.0,1,0
"site_Outside St. John's Hbr., Newfoundland",0.0,1,0
"site_Plantagenet Bank, Bermuda",0.0,1,0
"site_Saanich Inlet, Victoria, VAncouver Island, British Columbia, Canada",0.0,1,0
"site_Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",0.0,1,0
"site_Sable Island, Nova Scotia",0.0,1,0
"site_South of Sable Island, North Atlantic",0.0,1,0
"site_St. David's Island, Bermuda",0.0,1,0
"site_T3 Ice Island, Canada",0.0,1,0
"site_Tortola, British Virgin IslandsO",0.0,1,0
"site_Vancouver, British Columbia",0.0,1,0
"site_off Gibbs Hill Light, Bermuda",0.0,1,0
"site_over Plantagenet Banks, Bermuda",0.0,1,0
collection_code_BD10A,0.0,1,0
collection_code_BD15A,0.0,1,0
collection_code_BE3B,0.0,1,0
collection_code_BE3C,0.0,1,0
collection_code_BE7A,0.0,1,0
year,0.0,1,0
collection_code_AC2A,0.36197298765182495,1,1
collection_code_BA2A,0.33347201347351074,1,1
latitude,0.251417875289917,1,1
site_W of Browns Bank,0.029112964868545532,1,1
"site_Three to four miles N. of Crafton Is., Prince William Sound, Alaska",0.020906180143356323,1,1
bytes_on_disk,0.0013008229434490204,1,1
"site_Vancouver, British Columbia",0.0007623835699632764,1,1
native_sample_rate,0.0004745124897453934,1,1
longitude,0.00026293681003153324,1,1
duration_seconds,0.00022696424275636673,1,1
year,9.0392968559172e-05,1,1
"site_1-1.5 miles North of Tortola, British Virgin Islands",0.0,1,1
"site_3 miles N of San Juan, Puerto Rico",0.0,1,1
"site_3-4 mi. off Roseau, Dominica",0.0,1,1
"site_3-4 mi. off Roseau, Dominica  BD",0.0,1,1
site_50 mi. NE Malta,0.0,1,1
"site_80 mi. south of Martha's Vineyard, Massachusetts",0.0,1,1
"site_Andenes, Norway",0.0,1,1
"site_Argus Island, Bermuda",0.0,1,1
site_Bequia,0.0,1,1
site_Bermuda,0.0,1,1
site_BermudaBD,0.0,1,1
"site_Castle Harbour, Bermuda",0.0,1,1
site_DOMINICA,0.0,1,1
"site_Dabob Bay, Seattle, Washington",0.0,1,1
site_Delaware,0.0,1,1
site_Dominica,0.0,1,1
site_Dominica  E,0.0,1,1
site_Dominica Is,0.0,1,1
site_Dominica IsBD,0.0,1,1
"site_Gully, SE Sable I., Canada  BD",0.0,1,1
"site_Kikvika, Norway",0.0,1,1
"site_Ligurian Sea, NW Italy",0.0,1,1
"site_Lower end of Lanzarote Is., Canary I.",0.0,1,1
site_Madeira,0.0,1,1
site_N end of Dominica,0.0,1,1
site_N of Selina,0.0,1,1
"site_N of Selina, Sicily",0.0,1,1
"site_Near Filicudi, Italy",0.0,1,1
"site_Off Gibbs Hill Light, Bermuda",0.0,1,1
"site_Off Maui, HI",0.0,1,1
"site_Off Maui, HIBD",0.0,1,1
site_Oregon Coast Aquarium,0.0,1,1
"site_Oregon Coastal Aquarium, Newport, OR",0.0,1,1
"site_Outside St. John's Hbr., Newfoundland",0.0,1,1
"site_Plantagenet Bank, Bermuda",0.0,1,1
"site_Saanich Inlet, Victoria, VAncouver Island, British Columbia, Canada",0.0,1,1
"site_Saanich Inlet, Victoria, Vancouver Island, British Columbia, Canada",0.0,1,1
"site_Sable Island, Nova Scotia",0.0,1,1
"site_South of Sable Island, North Atlantic",0.0,1,1
"site_St. David's Island, Bermuda",0.0,1,1
"site_T3 Ice Island, Canada",0.0,1,1
"site_Tortola, British Virgin IslandsO",0.0,1,1
"site_off Gibbs Hill Light, Bermuda",0.0,1,1
"site_over Plantagenet Banks, Bermuda",0.0,1,1
collection_code_BD10A,0.0,1,1
collection_code_BD15A,0.0,1,1
collection_code_BE3B,0.0,1,1
collection_code_BE3C,0.0,1,1
collection_code_BE7A,0.0,1,1
collection_code_AC2A,0.4479053318500519,1,2
collection_code_BA2A,0.2747429311275482,1,2
latitude,0.259296178817749,1,2
native_sample_rate,0.016349567100405693,1,2
"site_Vancouver, British Columbia",0.000786994060035795,1,2
duration_seconds,0.0004081141378264874,1,2
longitude,0.00032367772655561566,1,2
bytes_on_disk,0.00016051442071329802,1,2
year,2.665984538907651e-05,1,2
"site_1-1.5 miles North of Tortola, British Virgin Islands",0.0,1,2
"site_3 miles N of San Juan, Puerto Rico",0.0,1,2
"site_3-4 mi. off Roseau, Dominica",0.0,1,2
